tx_date,address,symbol,usd_spent,sol_spent,entryPrice,token_amount_received,TP_price_1,TP_price_2,TP_price_3,PNL,USD_value
15-04-2024 19:51:09,APnUsTJZNkxBaZXTzAqFoY1hLtkJhZCPDBEMtoLEEeiM,OIL,3.00,0.02,0.000092949,32275.87,0.000158013,0.000218429,0.000427564,,
15-04-2024 19:51:44,HJH57E2XUYWjnkEUKxMwEnJUdmJHoVgYaHt3sHkEiYK9,ZOMZEB,3.00,0.02,0.000021396,140210.00,0.000036374,0.000050282,0.000098424,,
15-04-2024 19:53:14,F8LvhqLXkcXCztkGGLaRMcU33pVdEoNFn8GUHrZNEqYP,OF,3.00,0.02,0.000036408,82399.20,0.000061894,0.000085559,0.000167477,,
15-04-2024 19:54:40,3oAgi3xTG761qy7mivHBRsYCsjEE2Fr4sJukHAAWEi7a,HELL,3.00,0.02,0.000035836,83715.08,0.000060921,0.000084214,0.000164845,,
15-04-2024 19:55:53,BFL4zCrGtGG9Qp6dFdznx3TdbZT4zBD4p9Fftpbssc8w,PPB,3.00,0.02,0.000096497,31089.02,0.000164045,0.000226768,0.000443887,,
15-04-2024 20:09:50,Bidenzk7YEmQyADbAxnqYZJHnXe39WmWtPxTiLc7ExUw,BodenFam,2.00,0.01,0.000006415,311793.08,0.000010584,0.000015074,0.000029507,,
15-04-2024 20:12:31,5nmEpixRKPys8YFhFYsisPijEBStw5obpnerEGAszkKe,4202024,2.00,0.01,0.000093677,21349.99,0.000154567,0.000220141,0.000430914,,
15-04-2024 20:16:58,EqL84egjZBRb5HQTNW9tDrb2ZSPgeHmJfmciPye8keKC,DEMUCRATS,2.00,0.01,0.000038847,51483.84,0.000064098,0.000091291,0.000178697,,
15-04-2024 20:20:12,9QtSbtJ7TGJ5au5EFeFHjcYZDuRYA1ihMfgxY7Z15MHk,JC,2.00,0.01,0.010852442,184.29,0.017906529,0.025503238,0.049921232,,
15-04-2024 20:21:19,E6yHrjYt9Sb5LPWW4eNz8KM5SeKRksxkf6gLUnjvmAtq,ACAT,2.00,0.01,0.000029152,68605.36,0.000048101,0.000068508,0.000134100,,
15-04-2024 20:22:40,BSXvX9dMvedcXUvwUQ5pzYJb9G8bBXKtddQns4oAxgEo,$MOONDELA,2.00,0.01,0.000032896,60798.35,0.000054278,0.000077305,0.000151320,,
15-04-2024 20:41:31,4ZrrZZmCpXiesH1F85fe32dHCREih56FHJQY9VmedBgN,$TOM,2.00,0.01,0.000014810,135045.32,0.000024436,0.000034803,0.000068125,,
15-04-2024 20:52:06,3QSfMQSASQ6T36xvcuRUoYWveTpRcv5pVa6feDpdUVXp,LOM,2.00,0.01,0.000030828,64875.12,0.000050867,0.000072447,0.000141811,,
15-04-2024 20:54:33,9QtSbtJ7TGJ5au5EFeFHjcYZDuRYA1ihMfgxY7Z15MHk,JC,2.00,0.01,0.007379112,271.04,0.012175535,0.017340913,0.033943916,,
15-04-2024 21:19:38,DceGWPqGC8vJDTd2TivCcRuhEFfYRuf2NYuBhJyLP4Ve,MAGAPUMP,2.00,0.01,0.010223839,195.62,0.016869335,0.024026022,0.047029661,,
15-04-2024 21:29:05,A8dtAfcmDk1QZr4NvHg4JAW3MNr2rUK3cFVDr7vF8bfe,BENJI,2.00,0.01,0.001867920,1070.71,0.003082068,0.004389612,0.008592432,,
15-04-2024 21:30:51,A1SvqJoSQGy3w6nR2qpjEUpehdboJGRvyWbFjLWADqfL,TRAMP,2.00,0.01,0.000014736,135723.78,0.000024314,0.000034629,0.000067785,,
15-04-2024 21:33:56,BaWREYNaiYwGVXkJn3YihJcRSdTvpBGuUE9nDaRP9hGL,CATMOMMY,2.00,0.01,0.000062214,32147.27,0.000102653,0.000146202,0.000286183,,
15-04-2024 22:01:50,6cRiiRnvkjkBtR81gVYUNn57b1PR9LWvQx2g7CZZoWFS,DOGTOY,2.00,0.01,0.000043574,45898.91,0.000071897,0.000102399,0.000200441,,
15-04-2024 22:29:59,3s9Ke6evdffm9HMv1Qn88oePobQAYhNwbiNBQ2iGJ8AU,BEANIE,2.00,0.01,0.000014405,138843.97,0.000023768,0.000033851,0.000066261,,
15-04-2024 22:33:28,AGQZdsUrsoxsC66cvyc8KhcNPfSuDk3PzbZYaAvEBeWz,WHYTE,2.00,0.01,0.000039785,50269.68,0.000065646,0.000093496,0.000183013,,
15-04-2024 22:49:26,AYxrfFpQgXxXw7YzJib3AFi8vVHWWva5Ldoj2JjAZmcB,hebo,2.00,0.01,0.000075357,26540.41,0.000124339,0.000177088,0.000346641,,
15-04-2024 22:52:17,2pAFnY2Sp6d3kPCm684LuMf7CHakpCo2TQsNa4iXxjPQ,LAMBOW,2.00,0.01,0.000026360,75871.91,0.000043494,0.000061947,0.000121257,,
15-04-2024 22:53:05,9Ji8ukZVRLGckAT3MWbt1BVXMp42f8EmASsD9RwoXDFX,HUSH,2.00,0.01,0.000701485,2851.09,0.001157451,0.001648491,0.003226833,,
