tx_date,address,symbol,usd_spent,sol_spent,entryPrice,token_amount_received,TP_price_1,TP_price_2,TP_price_3,PNL,USD_value
16-04-2024 12:05:45,AGQZdsUrsoxsC66cvyc8KhcNPfSuDk3PzbZYaAvEBeWz,WHYTE,2.00,0.01,0.000046704,42822.67,0.000077062,0.000109755,0.000214840,,
16-04-2024 12:23:46,Adh2BPi4fszcy23sbMH3awV4W8cdB5Lo7E2VyyaqFtCp,RBT,2.00,0.01,0.000009369,213474.91,0.000015458,0.000022017,0.000043096,,
16-04-2024 12:40:18,521eNYHCkyZ9rqFeCGMYYWabF6yVyRfcfjTDDKXBya8f,TERRA,2.00,0.01,0.003664419,545.79,0.006046291,0.008611384,0.016856326,,
16-04-2024 12:40:41,5i9imMDpTozYNhP3VXoKAYiFj3ZwKR8cmaHed8PYpSbT,GRIFFIN,2.00,0.01,0.000010123,197567.22,0.000016703,0.000023789,0.000046566,,
16-04-2024 12:50:31,97oWtQfbZMdDbn1jdNciDHm2vnPBR8VT3Ns7vSS7i9cm,$PITALIK,2.00,0.01,0.000050367,39708.81,0.000083105,0.000118362,0.000231687,,
16-04-2024 13:02:13,8pTHFvez9ojrhENxHdvWhvY9fEAJmJj5xQx5N9AJofQA,MOONWIF,2.00,0.01,0.000046387,43115.32,0.000076539,0.000109010,0.000213381,,
16-04-2024 13:12:09,GEXfaZV884sj6tiSnsZJPHxsuK7kZ9Lc1MdyEjuPeAxP,SIR,2.00,0.01,0.001731183,1155.28,0.002856453,0.004068281,0.007963444,,
16-04-2024 13:32:33,HMJG13KCCCXSFN5cqg7PBYJGgPxukBGhr6Q8VqbGVzBW,GYM,2.00,0.01,0.000027584,72505.78,0.000045514,0.000064822,0.000126886,,
16-04-2024 14:18:07,HJH57E2XUYWjnkEUKxMwEnJUdmJHoVgYaHt3sHkEiYK9,ZOMZEB,3.00,0.02,0.000025176,119161.09,0.000041540,0.000059164,0.000115810,,
16-04-2024 14:24:49,Eu62XcaozTodbW3SA74c62k6yDDCtU7K4fhm69e7B6Fe,BOL,3.00,0.02,0.000076823,39050.99,0.000126757,0.000180533,0.000353384,,
16-04-2024 14:30:07,A1SvqJoSQGy3w6nR2qpjEUpehdboJGRvyWbFjLWADqfL,TRAMP,3.00,0.02,0.000028896,103820.53,0.000047678,0.000067906,0.000132922,,
16-04-2024 14:30:32,39fVXXLYCGh9G4aTHvMoDhWo7yc1sSiUHv47SLoBobkw,GANJA,3.00,0.02,0.000053707,55858.33,0.000088617,0.000126212,0.000247054,,
16-04-2024 15:59:36,22QvAEn5KucUKbxJpMzwDmgYcQ8kuktqWVathxYsL6js,PlayDBZ,3.00,0.02,0.000029903,100323.80,0.000049340,0.000070272,0.000137555,,
16-04-2024 16:12:59,BSXvX9dMvedcXUvwUQ5pzYJb9G8bBXKtddQns4oAxgEo,$MOONDELA,3.00,0.02,0.000057886,51826.07,0.000095512,0.000136032,0.000266275,,
16-04-2024 16:16:07,57E9L2tcMxnnkaG1brwTJA4QhAE8rmpxs8SK2BNTHCDN,tinabu,3.00,0.02,0.000038333,78261.42,0.000069000,0.000101583,0.000185915,,
16-04-2024 16:33:49,3Rv9F4eHPAGjEDM8Bzp7xnXx7exekfwrjqfWmsG8VQoK,HOUND,4.00,0.03,0.000021020,190297.86,0.000037835,0.000055702,0.000101945,,
16-04-2024 16:40:14,3QSfMQSASQ6T36xvcuRUoYWveTpRcv5pVa6feDpdUVXp,LOM,4.00,0.03,0.000046494,86033.52,0.000083688,0.000123208,0.000225494,,
16-04-2024 18:04:38,FS5sF7une4vuxF2d7bZ7rZFFomULQE3msQ54TFP5tQKd,FEWAWI,4.00,0.03,0.000112997,35399.28,0.000203394,0.000299441,0.000548034,,
16-04-2024 18:15:32,FAug538ffrW8EkCrCM6khdJz9kMdvLpFwmwkKfVXzioC,BLNT,4.00,0.03,0.000136737,29253.22,0.000246127,0.000362353,0.000663175,,
16-04-2024 18:18:33,su7YDnAjx3gAmUN4jJrxivBcVDEheNRkPGMmXPHVBkN,FAIR,4.00,0.03,0.123748485,32.32,0.222747273,0.327933485,0.600180152,,
16-04-2024 18:27:21,CHE18aZrRiaTpu7Z53U9ycgrjNKUkXHtCq4exfkiS6Wa,DZNUTS,4.00,0.03,0.000040889,97826.95,0.000073599,0.000108355,0.000198309,,
16-04-2024 18:28:49,HMJG13KCCCXSFN5cqg7PBYJGgPxukBGhr6Q8VqbGVzBW,GYM,4.00,0.03,0.000036652,109134.64,0.000065974,0.000097128,0.000177762,,
16-04-2024 18:29:01,FAug538ffrW8EkCrCM6khdJz9kMdvLpFwmwkKfVXzioC,BLNT,4.00,0.03,0.000074952,53367.62,0.000134913,0.000198622,0.000363516,,
16-04-2024 18:32:57,FAug538ffrW8EkCrCM6khdJz9kMdvLpFwmwkKfVXzioC,BLNT,4.00,0.03,0.000075869,52722.28,0.000136565,0.000201054,0.000367966,,
16-04-2024 18:56:02,CNadvoKbKD8Bb839LghAo4uzynMTKFC87fP6hcGEdDfQ,JACKED,4.00,0.03,0.000045517,87880.09,0.000081930,0.000120619,0.000220755,,
16-04-2024 19:14:28,63kAw6KkS7fSqJ4RADJqdYFcB8QVEZz2BjA9m81sEwpN,Murgan,4.00,0.03,0.000071962,55584.70,0.000129532,0.000190700,0.000349017,,
16-04-2024 19:34:11,FAug538ffrW8EkCrCM6khdJz9kMdvLpFwmwkKfVXzioC,BLNT,4.00,0.03,0.000092480,43252.39,0.000157217,0.000226577,0.000430034,,
16-04-2024 19:35:33,FAug538ffrW8EkCrCM6khdJz9kMdvLpFwmwkKfVXzioC,BLNT,4.00,0.03,0.000091713,43614.23,0.000155912,0.000224697,0.000426466,,
16-04-2024 20:28:19,3QSfMQSASQ6T36xvcuRUoYWveTpRcv5pVa6feDpdUVXp,LOM,4.00,0.03,0.000043952,91009.04,0.000074718,0.000107682,0.000204375,,
16-04-2024 20:35:08,4qdmx7Z9S2g46Y621xBeMKBWgWg5ayWsxY7vDG5Hr7wR,jebs,4.00,0.03,0.000042454,94219.43,0.000072172,0.000104013,0.000197412,,
16-04-2024 20:42:38,43eeGP8k9AZKBSyd9iahhThNtE3vcZvBWMaHNd2akM5s,JUM,4.00,0.03,0.000104867,38143.38,0.000178275,0.000256925,0.000487634,,
16-04-2024 20:43:27,6cRiiRnvkjkBtR81gVYUNn57b1PR9LWvQx2g7CZZoWFS,DOGTOY,4.00,0.03,0.000036141,110676.43,0.000061440,0.000088546,0.000168057,,
16-04-2024 20:46:57,Derwt6jk8XzZFU4inEVRvf4212m2QADoqv4vMnMH3mhY,WALL,4.00,0.03,0.000030644,130532.32,0.000052094,0.000075077,0.000142493,,
16-04-2024 21:22:13,EqL84egjZBRb5HQTNW9tDrb2ZSPgeHmJfmciPye8keKC,DEMUCRATS,3.00,0.02,0.000072738,41243.74,0.000123655,0.000178209,0.000338233,,
16-04-2024 21:27:34,AGQZdsUrsoxsC66cvyc8KhcNPfSuDk3PzbZYaAvEBeWz,WHYTE,3.00,0.02,0.000096881,30965.82,0.000164698,0.000237358,0.000450497,,
16-04-2024 21:28:39,GerRJ4R3NZj1HK7g1am4KfBeWfnj9CM8PwRSxjtNwBFT,Weed,3.00,0.02,0.000218467,13732.04,0.000371394,0.000535245,0.001015873,,
16-04-2024 21:50:05,FS9C49PpwCmqXbcUW4d5EFAYpnyi38ojff9263NcZaN2,FUD,3.00,0.02,0.000064010,46867.90,0.000108816,0.000156824,0.000297645,,
16-04-2024 22:08:41,6aVBPVpVN6BkHKXJtvfmd5q9yHVPSZX51NVCLyebKGNm,POGE,3.00,0.02,0.000224548,13360.16,0.000381732,0.000550143,0.001044149,,
16-04-2024 22:23:07,4TECfrYNQiZb8pBwJWLLGz7GFT7ozocGo2UL93nx6YrN,Ster Wers,3.00,0.02,0.000098226,30541.91,0.000166984,0.000240653,0.000456749,,
