"tx_date","address","symbol","entryPrice","token_amount_received","TP_price_1","TP_price_2","amount_to_sell","PNL","value_USD"
"11-04-2024 19:58:40","BsANcwKQk915BEE5pxsrQKak58iDt5P1416mTkXRQp3u","CATHERO","0.000000000","30475428899.6","","","21332800229.72","Infinity","1.23"
"11-04-2024 17:39:14","GGJXnzXLazLtshHsjP9ryXMffnk9AL2fmiSqEaszWuRw","PEG","0.000017789","171312.495090187","","","119918.746563131","1506.31",""
"2024-04-08T23:26:09.345Z","9SiKU8vnRiBYQSBff84K5zwG7habzwYVzn7KrtgCzNfg","PEDRO","0.000035427","28227.169522831","","","19759.02","1009.97",""
"2024-04-08T21:18:38.986Z","AJqfoVvgJ7r6x9vRzJDB224T5yNJu1DndGyXoMz9vCWS","$CARLOS","0.000074239","26940.125287","","","18858.09","889.98",""
"2024-04-09T01:42:00.063Z","9SiKU8vnRiBYQSBff84K5zwG7habzwYVzn7KrtgCzNfg","PEDRO","0.000051264","39014.052375835","","","27309.84","667.07",""
"2024-04-10T03:26:55.476Z","3wi9CpM2gZ3AhBTn7PsyEPK9P9XYdhEcWpw6nEvXBHDH","DONTLOOKUP","0.000019074","104853.860698","","0.000190740","73397.7024886","598.90","3.21"
"2024-04-10T00:07:11.661Z","8doS8nzmgVZEaACxALkbK5fZtw4UuoRp4Yt8NEaXfDMb","$WAFFLES ","0.000054720","36549.481773","","0.000547200","25584.64","501.02","3.61"
"2024-04-06T23:24:53.448Z","864YJRb3JAVARC4FNuDtPKFxdEsYRbB39Nwxkzudxy46","HABIBI","0.000157538","6347.679539","","0.001575380","4443.38","487.86","1.76"
"2024-04-09T01:49:58.838Z","9SiKU8vnRiBYQSBff84K5zwG7habzwYVzn7KrtgCzNfg","PEDRO","0.000069919","28604.396395538","","","20023.08","462.41",""
"11-04-2024 16:45:57","6NuTdiTruP6vtZ2NbxnzhC8TvwPLjMTsC517UEMtYc5N","blunt","0.000054017","55734.808812534","","0.000540170","39014.366168774","453.56","5.00"
"2024-04-09T22:09:29.474Z","4neSyzJmcSWQF58DKHdo7FNzJDDKSgaaQqrzuSXS5U6g","BROKIE","0.000079838","25050.618855","","","17535.43","419.90",""
"2024-04-09T13:29:08.466Z","47psVap1QaXYYEPhFn7pZuvR8m9GQaX8wDodZuY3fWL7","BOC","0.000006073","329301.59585","","","230511.12","374.78",""
"2024-04-08T06:43:07.279Z","GfkfESc5A4EkxCGWsymNY4ZfkCDdvtB7ajCybLfYL1Qq","AOC","0.000412604","4847.260064","","","3393.08","341.21",""
"2024-04-09T03:36:01.828Z","BUjqesUrfsXVAzihgemhb7EroWBkV74kUGtMJ3DzWWk9","MOFF","0.000038407","39055.517861","","0.000384070","27338.86","327.05","1.92"
"2024-04-07T13:49:41.268Z","4TqWC9qkb2ggN6B2TtNHBkKgjHoKd3erbdWjZEAPnLsy","utxo","0.000021668","138454.228910187","","0.000216680","96917.96","278.95","3.40"
"2024-04-08T06:38:39.732Z","GfkfESc5A4EkxCGWsymNY4ZfkCDdvtB7ajCybLfYL1Qq","AOC","0.000482064","4148.829345","","","2904.18","277.64",""
"2024-04-08T23:14:10.089Z","BqhNdGtS1Nqtzi2MvZ7G8NN1vRuHZ12UpHGJKe71e1JT","TRUMP","0.000091138","10972.372679405","","","7680.66","272.63",""
