"tx_date","address","symbol","usd_spent","sol_spent","entryPrice","token_amount_received","TP_price_1","TP_price_2","TP_price_3","PNL","USD_value"
"15-04-2024 20:12:31","5nmEpixRKPys8YFhFYsisPijEBStw5obpnerEGAszkKe","4202024","2.00","0.01","0.000093677","21349.99","","","0.000430914","151.93","0.53"
"15-04-2024 21:30:51","A1SvqJoSQGy3w6nR2qpjEUpehdboJGRvyWbFjLWADqfL","TRAMP","2.00","0.01","0.000014736","135723.78","","","0.000067785","86.81","0.43"
"15-04-2024 19:54:40","3oAgi3xTG761qy7mivHBRsYCsjEE2Fr4sJukHAAWEi7a","HELL","3.00","0.02","0.000035836","83715.08","","0.000084214","0.000164845","44.62","1.30"
"15-04-2024 20:22:40","BSXvX9dMvedcXUvwUQ5pzYJb9G8bBXKtddQns4oAxgEo","$MOONDELA","2.00","0.01","0.000032896","60798.35","","0.000077305","0.000151320","39.76","0.84"
"15-04-2024 22:52:17","2pAFnY2Sp6d3kPCm684LuMf7CHakpCo2TQsNa4iXxjPQ","LAMBOW","2.00","0.01","0.000026360","75871.91","0.000043494","0.000061947","0.000121257","34.46","2.69"
"15-04-2024 23:50:20","xEfq4PGzDs6AvkCisc2dL21LYLGY5kSXN7KLY8oapxS","CAST","2.00","0.01","0.000063530","31481.16","0.000104825","0.000149296","0.000292238","32.24","2.64"
"16-04-2024 05:32:14","B7vgVtZGYWzYLtj3b3hMME8bEWBbj9pkxdZxRpk7F81S","WOODY","2.00","0.01","0.000011284","177243.06","0.000018619","0.000026517","0.000051906","28.08","2.56"
"16-04-2024 02:12:10","pz8KjM9AHRu8MvjEbxHjZ6RwxQjTgxvTtRsaQtCUyQf","FUX","2.00","0.01","0.000040065","49918.70","","0.000094153","0.000184300","22.37","0.73"
"16-04-2024 01:33:03","8pTHFvez9ojrhENxHdvWhvY9fEAJmJj5xQx5N9AJofQA","MOONWIF","2.00","0.01","0.000032936","60723.85","0.000054344","0.000077400","0.000151506","21.69","2.43"
"16-04-2024 06:22:16","354qUUtpNCohQ4W33mX3hhtvTcXoPgYRt2szY5yjXsiu","SCAT","2.00","0.01","0.000013418","149049.76","0.000022140","0.000031533","0.000061724","18.40","2.37"
"15-04-2024 22:33:28","AGQZdsUrsoxsC66cvyc8KhcNPfSuDk3PzbZYaAvEBeWz","WHYTE","2.00","0.01","0.000039785","50269.68","0.000065646","0.000093496","0.000183013","9.15","2.32"
"16-04-2024 05:32:22","6nrPYZzXmxAkPP9hZ9LnXsMC95fQ3TDrFCUz8aoLzu9u","SPC","2.00","0.01","0.000016070","124455.70","0.000026515","0.000037764","0.000073922","6.27","2.13"
"15-04-2024 20:21:19","E6yHrjYt9Sb5LPWW4eNz8KM5SeKRksxkf6gLUnjvmAtq","ACAT","2.00","0.01","0.000029152","68605.36","0.000048101","0.000068508","0.000134100","1.39","2.03"
"16-04-2024 05:57:28","97oWtQfbZMdDbn1jdNciDHm2vnPBR8VT3Ns7vSS7i9cm","$PITALIK","2.00","0.01","0.000044869","44574.62","0.000074033","0.000105441","0.000206395","-0.13","2.00"
"16-04-2024 09:14:50","8WwgTMmb2XCsHammMMT4Q6o4YEoJeSS1Czo9zHCAAkQY","RWO","2.00","0.01","0.000068862","29043.50","0.000113623","0.000161826","0.000316766","-2.14","1.96"
"16-04-2024 00:50:09","Fg261eTKgNMpt8okj3qgqJ7RsYKTgrPdYdFe1KQUivyf","nOOdlz","2.00","0.01","0.000017928","111555.56","0.000029582","0.000042131","0.000082470","-5.08","1.90"
"15-04-2024 19:55:53","BFL4zCrGtGG9Qp6dFdznx3TdbZT4zBD4p9Fftpbssc8w","PPB","3.00","0.02","0.000096497","31089.02","0.000164045","0.000226768","0.000443887","-8.80","2.74"
"16-04-2024 05:48:44","3RkHtXu7mZhYk2PcZEpifoDn46ahSGiqKLLS5fJhrTFj","DACAT","2.00","0.01","0.017045554","117.33","0.028125164","0.040057051","0.078409548","-13.35","1.73"
"15-04-2024 20:16:58","EqL84egjZBRb5HQTNW9tDrb2ZSPgeHmJfmciPye8keKC","DEMUCRATS","2.00","0.01","0.000038847","51483.84","0.000064098","0.000091291","0.000178697","-15.94","1.68"
"15-04-2024 23:11:09","DDvERpdavG4WvtEQcFNceEhyENXENMqizPhXt7QnKkeB","DUMBO","2.00","0.01","0.000037685","53071.35","0.000062180","0.000088560","0.000173352","-17.85","1.64"
"15-04-2024 22:49:26","AYxrfFpQgXxXw7YzJib3AFi8vVHWWva5Ldoj2JjAZmcB","hebo","2.00","0.01","0.000075357","26540.41","0.000124339","0.000177088","0.000346641","-22.17","1.61"
