"tx_date","address","symbol","usd_spent","sol_spent","entryPrice","token_amount_received","TP_price_1","TP_price_2","TP_price_3","PNL","USD_value"
"24-04-2024 11:02:16","GbN9eERHQmmBBePukqdh47PSRfbd62Mcx7UVm1QW4cHU","$CJC","6.00","0.04","0.000039320","152595.34","","0.000096333","0.000182837","93.86 %","3.82"
"24-04-2024 08:37:22","FPg24u7bba4za31qXjRdHV38PSrgx2vAbA5vsPSCj36Q","BORI","6.00","0.04","0.000075285","79697.39","","0.000184448","0.000350074","83.88 %","3.24"
"23-04-2024 20:50:35","5obZn6LLBZawB47FKs5wSHjMyWHmrtg3Gq6f1bFYKuud","Biden2024","6.00","0.04","0.000032114","186833.28","","","0.000149331","76.30 %","0.99"
"24-04-2024 09:52:43","CuDEjiF3MG5hLXrGJe2vspVyLiV48HGZb9dvdgygQbpG","","1.00","0.00","0.000028877","34629.24","","","0.000134280","66.70 %","0.14"
"24-04-2024 06:28:47","4RzZDnV6nY6TozYDfEqe2HHHvHjSwSqi29V3zLFwRDGR","BLENCAT","6.00","0.04","0.000059943","100095.32","","0.000146860","0.000278734","55.02 %","1.79"
"24-04-2024 05:00:50","BbciExji4fhSbqcEWRvqrvNpumJy2y3kCKajc2XGDvLi","NUKEY","6.00","0.04","0.000019604","306059.91","","","0.000091159","43.29 %","0.46"
"24-04-2024 01:23:07","s2BbxpZPpXMScWue545QkCzPBf3C1mTy3sNHUak8brn","CICADA","6.00","0.04","0.000128265","46778.28","0.000218050","0.000314248","0.000596431","31.89 %","2.52"
"24-04-2024 13:21:55","5WJTrqvmEkNmdmWUPmBaQio4kfHHnCMom7VN5quU5Rdi","OCTPUS","6.00","0.04","0.000185414","32359.93","","0.000454265","0.000862177","17.70 %","0.44"
"24-04-2024 06:55:39","7AfFQr9jAHR42J4HZ4kncuVXzn43Zqp6t7Bg3ydSgJ4a","WONY","6.00","0.04","0.000075314","79666.45","0.000128034","0.000184519","0.000350210","11.46 %","0.77"
"24-04-2024 08:01:33","DhD7vTm2WHaYsnhTDzCAwEb82ZzkSDuXm9VuY1efa9h6","SOLGUDMAN","6.00","0.04","0.000072445","82821.43","0.000123157","0.000177490","0.000336869","7.61 %","0.49"
"24-04-2024 10:06:04","8CHWEAAgDb2iSzchPLjNhsYpA2E1sMnVDMDQE9HHxHHX","","1.00","0.00","0.000013727","72851.45","0.000023335","0.000033630","0.000063829","-5.32 %","-0.05"
"24-04-2024 08:08:53","HzAHz3e6FqZq4HQEcJadJVLRQ8z2m1hs9mLjb1oNaWfj","eltman","6.00","0.04","0.000096061","62460.37","0.000163304","0.000235349","0.000446683","-7.25 %","-0.40"
"24-04-2024 12:52:43","Fn5TpxS4H3jwV5jwD9HYoEDvxnNxDyEknwKaq2Mn3fbf","FLAN","6.00","0.04","0.000252066","23803.32","0.000428512","0.000617561","0.001172105","-8.88 %","-0.49"
"24-04-2024 13:26:57","FPgtxP3mGT5Y97jem8xe26kb3SifVNB5uG5dKYAqmKXq","RICH","6.00","0.04","0.000024526","244638.99","0.000041694","0.000060089","0.000114046","-24.20 %","-1.10"
