"tx_date","address","symbol","usd_spent","sol_spent","entryPrice","token_amount_received","TP_price_1","TP_price_2","TP_price_3","PNL","USD_value"
"19-04-2024 12:23:15","uuhapQ127n3fAYL4WNeitFHsx54dhrAticUJc9b15BK","SOLFIN","3.00","0.02","0.000113308","26476.54","","","","789.33 %","0.07"
"21-04-2024 02:52:15","FZzFpbBmFkoCGabqRj6hssTxbVxdeoEVT8RoKnXfdwGx","Coochie","1.00","0.01","0.000033263","30063.10","","","","556.99 %","1.15"
"20-04-2024 23:20:08","G2ShfTkHaPgY1YUqZzB611coeFpbhyGirzgGmyW5fEhV","UberJeets","1.00","0.01","0.000022589","44269.52","","","","307.26 %","2.86"
"20-04-2024 01:32:07","3bSGnqj1GLk5SxU5QEv8cEeLL1rwK5ETZbDxLkoAVPWC","AZ","2.00","0.01","0.000766074","2610.71","","","","166.14 %","0.34"
"20-04-2024 19:25:13","Fn5TpxS4H3jwV5jwD9HYoEDvxnNxDyEknwKaq2Mn3fbf","FLAN","1.00","0.01","0.000055855","17903.64","","","","161.66 %","0.04"
"23-04-2024 06:02:05","HKe2YBWf6HH9E2hgdVQiJZM48rXam3Bued9Xb6U1Td4E","PATEK","2.25","0.01","0.000065576","34311.57","","","","157.84 %","2.75"
"22-04-2024 21:07:46","45R3iCTNTbL4pDPMMwDuHpy8Vs3foWxDD3uKwyjGXojS","PAWPPY","2.25","0.01","0.000001436","1566460.62","","","","109.12 %","1.54"
"21-04-2024 21:15:43","HzAHz3e6FqZq4HQEcJadJVLRQ8z2m1hs9mLjb1oNaWfj","eltman","1.00","0.01","0.000046932","21307.61","","0.000114982","0.000218232","107.31 %","1.24"
"19-04-2024 17:20:51","2GUts9wvWBigyAHVR9LfvqQLjxTGm1yvtQihLbTsojQP","DWFH","3.00","0.02","0.000027423","109398.23","","","","97.48 %","0.09"
"22-04-2024 03:49:38","66b3DNmwoTfv7ToUkDCGV3iXyPCMa8amjxJ4RoNWCXcn","DOME","1.60","0.01","0.000019260","83071.60","","","","92.53 %","0.30"
"21-04-2024 05:45:57","Bdnm6NbzyoUkxQn79SacAdEDBVHtfUGCHKrRJveoR7BG","GAY","1.00","0.01","0.000077557","12893.81","","","","87.39 %","0.15"
"18-04-2024 08:55:21","AeYvNizf823yEGfRNAhaWbLkBQ8hQmsCGjsBkWk27ntR","LIDER","2.00","0.02","0.000013862","144282.79","","","","84.92 %","0.10"
"21-04-2024 14:13:08","Aey5cKyr3oFECUBqdRpx9Yjn5eA5N1qHvGQE6W5eGzAX","GT SOL","1.00","0.01","0.000022963","43547.67","","","","73.31 %","0.38"
"19-04-2024 16:03:50","FS9C49PpwCmqXbcUW4d5EFAYpnyi38ojff9263NcZaN2","FUD","3.00","0.02","0.000051270","58514.16","0.000087158","0.000125611","0.000238404","57.22 %","2.70"
"20-04-2024 18:23:35","2VXp4ZpwCfVvY7FRcUEGRNAXydEUvfRfQoBFFsAEawjH","GINNAN","1.00","0.01","0.001672561","597.89","0.002843353","0.004097773","0.007777407","40.94 %","0.78"
"22-04-2024 08:10:50","9prFXqZvzCt4368Toa8t12hGmpMmyzfqSETtTBj3nADj","PIPBOY","1.60","0.01","0.000092547","17288.45","0.000157330","0.000226741","0.000430345","36.29 %","1.36"
