tx_date,address,symbol,entryPrice,token_amount_received,TP_price_1,TP_price_2,amount_to_sell,PNL
2024-04-10T03:26:55.476Z,3wi9CpM2gZ3AhBTn7PsyEPK9P9XYdhEcWpw6nEvXBHDH,DONTLOOKUP,1.9074e-05,104853.860698,,0.00019074,,598.9
2024-04-06T23:24:53.448Z,864YJRb3JAVARC4FNuDtPKFxdEsYRbB39Nwxkzudxy46,HABIBI,0.000157538,6347.679539,,0.00157538,,559.11
2024-04-10T00:07:11.661Z,8doS8nzmgVZEaACxALkbK5fZtw4UuoRp4Yt8NEaXfDMb,$WAFFLES ,5.472e-05,36549.481773,,0.0005472,,460.11
2024-04-09T03:36:01.828Z,BUjqesUrfsXVAzihgemhb7EroWBkV74kUGtMJ3DzWWk9,MOFF,3.8407e-05,39055.517861,,0.00038407,,323.99
11-04-2024 17:42:23,CEGWh1kSSUPsAS5KXcgrCKD5rC8vFcV2k7pFHR6nhz9X,KPUP,0.000161483,18966.08002,,0.00161483,,304.81
11-04-2024 16:45:57,6NuTdiTruP6vtZ2NbxnzhC8TvwPLjMTsC517UEMtYc5N,blunt,5.4017e-05,55734.808812534,,0.00054017,,283.49
2024-04-07T13:49:41.268Z,4TqWC9qkb2ggN6B2TtNHBkKgjHoKd3erbdWjZEAPnLsy,utxo,2.1668e-05,138454.228910187,,0.00021668,,247.61
2024-04-07T14:51:40.099Z,2ahs66RtVNajoemx4NW8u1iD3gdppPXYhbDNLd5swm2e,WALE,2.2514e-05,44416.614152,,0.00022514,,242.56
2024-04-09T03:29:47.084Z,AYxrfFpQgXxXw7YzJib3AFi8vVHWWva5Ldoj2JjAZmcB,hebo,4.6017e-05,21730.906668,,0.00046017,,218.04
11-04-2024 21:45:56,9EAm9h5ECGtVh8TsTx96qRYn1T38FsvENsyDJJxgGEjj,BIGHEAD,9.347e-06,324526.751229403,,9.347e-05,,175.03
11-04-2024 20:13:06,9khQG9Esv15TWf2F4kdx2ULmbhDvJQS7sDGPBpKLEA4G,"""RAWR""",0.00219084,1390.906803104,,0.0219084,,134.2
2024-04-10T04:20:04.121Z,29ad8JW1YcVT3mxcvxJpe3EzWqXCGD7KaSRWrc3TEMWG,SEAT,8.4696e-05,17710.410512,,0.00084696,,123.65
2024-04-07T16:27:38.827Z,3B3NgG5akjXt7UHace94CY5rDGzZL999bcWjpMGQeatz,MOWGLI,9.392e-06,106479.200460306,,9.392e-05,,112.65
2024-04-10T02:07:37.460Z,ERLqrrQkkyZGzsJ4nZB67Cbsp1krzPfJZobpBCDAtef1,PORDOG,4.1567e-05,48114.685961607,,0.00041567,,93.93
2024-04-09T20:15:04.996Z,3xUvntwnqFJv6ZaM3VL2CJCJmL4cuDapoJpExwEXz16U,BigWilly,2.2455e-05,89067.090571565,,0.00022455,,91.01
11-04-2024 19:54:35,Bidenzk7YEmQyADbAxnqYZJHnXe39WmWtPxTiLc7ExUw,BodenFam,1.2593e-05,242705.796094,,0.00012593,,71.9
