buy_date,sell_date,address,symbol,entryPrice,exitPrice,message,token_amount_sold,usd_spent,usd_received,result_usd
16-04-2024 12:23:46,16-04-2024 12:35:27,Adh2BPi4fszcy23sbMH3awV4W8cdB5Lo7E2VyyaqFtCp,RBT,9.369e-06,1.4945e-05,TP 1 Reached!!,,2,2.233218,1.19
16-04-2024 12:40:41,16-04-2024 12:44:20,5i9imMDpTozYNhP3VXoKAYiFj3ZwKR8cmaHed8PYpSbT,GRIFFIN,1.0123e-05,3.834e-06,-30% SL reached!!,,2,0.757434,-1.24
16-04-2024 12:23:46,16-04-2024 13:14:25,Adh2BPi4fszcy23sbMH3awV4W8cdB5Lo7E2VyyaqFtCp,RBT,9.369e-06,2.2372e-05,TP 2 Reached!!,,2,0.931276,2.78
16-04-2024 13:12:09,16-04-2024 13:23:33,GEXfaZV884sj6tiSnsZJPHxsuK7kZ9Lc1MdyEjuPeAxP,SIR,0.001731183,0.00292365,TP 1 Reached!!,,2,2.364356,1.38
16-04-2024 12:05:45,16-04-2024 14:31:51,AGQZdsUrsoxsC66cvyc8KhcNPfSuDk3PzbZYaAvEBeWz,WHYTE,4.6704e-05,7.8629e-05,TP 1 Reached!!,,2,2.356971,1.37
16-04-2024 14:24:49,16-04-2024 14:38:36,Eu62XcaozTodbW3SA74c62k6yDDCtU7K4fhm69e7B6Fe,BOL,7.6823e-05,5.3412e-05,-30% SL reached!!,,3,2.08579,-0.91
16-04-2024 13:32:33,16-04-2024 14:48:32,HMJG13KCCCXSFN5cqg7PBYJGgPxukBGhr6Q8VqbGVzBW,GYM,2.7584e-05,4.2974e-05,TP 1 Reached!!,,2,2.181124,1.12
16-04-2024 12:40:18,16-04-2024 14:52:01,521eNYHCkyZ9rqFeCGMYYWabF6yVyRfcfjTDDKXBya8f,TERRA,0.003664419,0.002224779,-30% SL reached!!,,2,1.214262,-0.79
16-04-2024 12:23:46,16-04-2024 15:28:42,Adh2BPi4fszcy23sbMH3awV4W8cdB5Lo7E2VyyaqFtCp,RBT,9.369e-06,4.7836e-05,TP 3 Reached!!,,2,1.072236,8.21
16-04-2024 14:18:07,16-04-2024 16:02:43,HJH57E2XUYWjnkEUKxMwEnJUdmJHoVgYaHt3sHkEiYK9,ZOMZEB,2.5176e-05,1.8929e-05,-21% SL reached!!,,3,2.255578,-0.74
